"","Trait","Trait_Info","Paper_ID","Cohort_ID","Rodent_type","Strain","Shared_Control","F0_Parent_Exposed","Lineage_HFD","Exposure_Type","F2_Diet_at_measurement","Age_Days","Sex","Generation","Mean_Control","SD_Control","SEM_Control","Sample_Size_n_Control","Estimated_or_Exact_sample_control.","Mean_Treatment","SD_Treatment","SEM_Treatment","Sample_Size_n_Treatment","Estimated_or_Exact_sample_treatment..","Source","Group_Label_Paper","yi","vi"
"170","Glucose","GTT","Park2018","Park2018fff","Mouse","C57BL/6",1,"Male","f-f-f","One off","Standard",63,"Female","F2",27240.8759124087,5481.36789503735,1937.95620437957,8,"Estimate",32693.4306569343,5016.84519206805,1773.72262773722,8,"Estimate","Fig 2e","F2 female to CD (Control) F2 female to HFD (treatment)",0.182455524240067,0.00800451775285184
"171","Glucose","GTT","Park2018","Park2018fff","Mouse","C57BL/6",3,"Male","f-f-f","One off","Standard",140,"Female","F2",30619.5652173913,5995.03575353813,2119.56521739131,8,"Estimate",33815.2173913044,5626.11047639729,1989.1304347826,8,"Estimate","Fig2f","F2 female to CD (Control) F2 female to HFD (treatment)",0.0992717290212653,0.00825197280802314
"172","Glucose","GTT","Park2018","Park2018ffm","Mouse","C57BL/6",4,"Male","f-f-m","One off","Standard",140,"Male","F2",38054.347826087,8024.12477781256,2836.95652173913,8,"Estimate",43402.1739130435,9038.66928994979,3195.65217391305,8,"Estimate","Fig2c","F2 male to CD (Control) F2 male to HFD (treatment)",0.131494186108555,0.0109789292887774
"173","Glucose","FBG","Barbosa2016","Barbosa2016mfmfM","Rat","SD",2,"Male","m-fm-f","Multigenerational","HFD",84,"Female","F2",7.1,0.793725393319377,0.3,7,"Exact",7.4,0.529150262212918,0.2,7,"Exact","Fig2D, Supplementary Data","GpatCD-CD(Control), GpatHF-HF(Treatment)",0.0413852161628545,0.00251582023752925
"174","Glucose","FBG","Barbosa2016","Barbosa2016mfmfM","Rat","SD",2,"Male","m-fm-f","Multigenerational","HFD",84,"Female","F2",7.1,0.793725393319377,0.3,7,"Exact",7,0.52915,0.2,7,"Exact","Fig2D, Supplementary Data","GpatCD-CD(Control), GpatHF-CD(Treatment)",-0.0141846349919564,0.00260168576918395
"175","Glucose","FBG","Barbosa2016","Barbosa2016mfmmM","Rat","SD",3,"Male","m-fm-m","Multigenerational","HFD",84,"Male","F2",6.5,0.916515138991168,0.2,21,"Exact",7.5,0.916515138991168,0.2,21,"Exact","Fig2D, Supplementary Data","GpatCD-CD(Control), GpatHF-HF(Treatment)",0.143100843640673,0.00165785667324129
"176","Glucose","FBG","Barbosa2016","Barbosa2016mfmmM","Rat","SD",3,"Male","m-fm-m","Multigenerational","HFD",84,"Male","F2",6.5,0.916515138991168,0.2,21,"Exact",7.3,0.916515,0.3,21,"Exact","Fig2D, Supplementary Data","GpatCD-CD(Control), GpatHF-CD(Treatment)",0.116072171252754,0.00169735520498732
"177","Glucose","FBG","Ding2014","Li2012b","Mouse","C57BL/6",1,"Female","f-f-f","Multigenerational",NA,270,"Female","F2",7.1,1.1,0.55,4,"Estimate",8.9,0.4,0.133333333333333,9,"Estimate","Supp Table 1 and 2","NC F2(Control), HF F2 (Treatment)",0.225956492690824,0.00622523204628692
"178","Glucose","FBG","Hanafi2015","Hanafi2015fmm","Rat","Wistar",1,"Female","f-m-m","One off","Standard",210,"Male","F2",91,10,3.16227766016838,10,"Exact",93,14,NA,10,"Exact","Table4","F2-CF1 (Control), F2-OF1M(Treatment)",0.0217399866364058,0.00347374156249984
"179","Glucose","FBG","Hanafi2015","Hanafi2015ffm","Rat","Wistar",1,"Female","f-f-m","One off","Standard",210,"Male","F2",91,10,3.16227766016838,10,"Exact",102,16,NA,10,"Exact","Table4","F2-CF1 (Control), F2-OF1F(Treatment)",0.114113306767421,0.00366817570513529
"180","Glucose","FBG","Hanafi2015","Hanafi2015fmf","Rat","Wistar",2,"Female","f-m-f","One off","Standard",210,"Female","F2",96,10,3.16227766016838,10,"Exact",93,14,NA,10,"Exact","Table4","F2-CF1 (Control), F2-OF1M(Treatment)",-0.0317486983145803,0.00335122738177824
"181","Glucose","FBG","Hanafi2015","Hanafi2015fff","Rat","Wistar",2,"Female","f-f-f","One off","Standard",210,"Female","F2",96,10,3.16227766016838,10,"Exact",106,16,NA,10,"Exact","Table4","F2-CF1 (Control), F2-OF1F(Treatment)",0.099090902644231,0.0033634603308809
"182","Glucose","FBG","Huang2017","Huang2017","Rat","SD",1,"Female","f-f-fm","Multigenerational","Standard",21,"Both","F2",4.6,0.979795897113271,0.4,6,"Exact",6.2,1.22474487139159,0.5,6,"Exact","Table4","F2-SC(Control), F2-HF(Treatment)",0.298492988555997,0.01406507871251
"183","Glucose","FBG","Huang2017","Huang2017","Rat","SD",2,"Female","f-f-fm","Multigenerational","Standard",84,"Both","F2",5.3,0.930806102257608,0.3,6,"Exact",5.8,0.734846922834953,0.3,6,"Exact","Table4","F2-SC(Control), F2-HF(Treatment)",0.0901510969942975,0.00781600588223093
"184","Glucose","FBG","Nasu2007","Nasu2007","Rat","Wistar",1,"Female","f-f-fm","Multigenerational","HFD",14,"Both","F2",134.262948207171,67.1311785492449,10.3585657370518,42,"Exact",154.980079681275,63.7450199203186,7.96812749003982,64,"Exact","Fig1","C-N F3(Control) C-F F3(Treatment)",0.143496413266087,0.00859571577676349
"185","Glucose","GTT","Winther2019","Winther2019ffm","Rat","SD",1,"Female","f-f-m","One off","Standard",196,"Male","F2",813.445378151261,53.1475237003085,16.8067226890755,10,"Exact",867.226890756303,106.295047400618,33.6134453781514,10,"Exact","Fig4","CON-CON (Control) HFD-CON (Treatment)",0.0640218587649308,0.00192919697249001
"186","Glucose","GTT","Winther2019","Winther2019fff","Rat","SD",2,"Female","f-f-f","One off","Standard",196,"Female","F2",843.697478991597,53.1475237003089,16.8067226890756,10,"Exact",826.890756302521,74.4065331804324,23.5294117647059,10,"Exact","Fig4","CON-CON (Control) HFD-CON (Treatment)",-0.0201214031994215,0.00120652231709296
"187","Insulin","ITT","Barbosa2016","Barbosa2016mfmfM","Rat","SD",1,"Male","m-fm-f","Multigenerational","HFD",84,"Female","F2",272.3529412,85.49671679,38.23529412,5,"Estimate",457.6470588,165.7320972,74.11764706,5,"Estimate","Fig2E","GpatCD-CD(Control), GpatHF-HF(Treatment)",0.518999469954351,0.0459380163008152
"188","Insulin","ITT","Barbosa2016","Barbosa2016mmfO","Rat","SD",1,"Male","m-m-f","One off","Standard",84,"Female","F2",272.3529412,85.49671679,38.23529412,5,"Estimate",156.4705882,96.01938962,42.94117647,5,"Estimate","Fig2E","GpatCD-CD(Control), GpatHF-CD(Treatment)",-0.554230745616492,0.095024174079978
"189","Insulin","ITT","Dunn2009","Dunn2009ffm","Mouse","C57BL/6",1,"Female","f-f-m","Multigenerational","HFD",126,"Male","F2",80.38636364,17.87014108,7.295454545,6,"Estimate",103.125,19.28973172,7.875,6,"Estimate",NA,"2Ch(Control) 2HF(M) (Treatment)",0.24909728932239,0.0140678526589782
"190","Insulin","ITT","Dunn2009","Dunn2009ffm","Mouse","C57BL/6",1,"Female","f-f-m","Multigenerational","HFD",126,"Male","F2",79.63793103,18.49787082,7.551724138,6,"Estimate",101.7413793,24.57936259,10.03448276,6,"Estimate",NA,"2Ch(Control) 2HF(M) (Treatment)",0.244943596581175,0.0187192715749451
"191","Insulin","ITT","Dunn2009","Dunn2009ffm","Mouse","C57BL/6",1,"Female","f-f-m","Multigenerational","HFD",126,"Male","F2",80.38636364,17.87014108,7.295454545,6,"Estimate",104.0795455,27.55675961,11.25,6,"Estimate",NA,"2Ch(Control) 2HF(M) (Treatment)",0.258310912029054,0.0199199828911766
"192","Insulin","ITT","Dunn2009","Dunn2009ffm","Mouse","C57BL/6",1,"Female","f-f-m","Multigenerational","HFD",126,"Male","F2",79.63793103,18.49787082,7.551724138,6,"Estimate",103.362069,29.47834208,12.03448276,6,"Estimate",NA,"2Ch(Control) 2HF(M) (Treatment)",0.26074755742091,0.022547945555303
"193","Insulin","ITT","Dunn2009","Dunn2009ffm","Mouse","C57BL/6",1,"Female","f-f-m","Multigenerational","HFD",126,"Male","F2",80.38636364,17.87014108,7.295454545,6,"Estimate",93.47727273,23.46499833,9.579545455,6,"Estimate",NA,"2Ch(Control) 2HF(M) (Treatment)",0.150873779008883,0.0187385861413407
"194","Insulin","ITT","Dunn2009","Dunn2009ffm","Mouse","C57BL/6",1,"Female","f-f-m","Multigenerational","HFD",126,"Male","F2",79.63793103,18.49787082,7.551724138,6,"Estimate",92.67241379,23.48131547,9.586206897,6,"Estimate",NA,"2Ch(Control) 2HF(M) (Treatment)",0.151580342588059,0.0196921356517985
"195","Insulin","ITT","Dunn2011","Dunn2011fmfm","Mouse","C57BL/6",1,"Female","f-m-f-m","One off","Standard",140,"Male","F3",115.4299065,21.75464266,9.728971963,5,"Estimate",100.7102804,14.73297125,6.588785047,5,"Estimate",NA,"Male chow (Control) 3hf(maternal)male (treatment)",-0.136415591723635,0.0113840963578054
"196","Insulin","ITT","Dunn2011","Dunn2011fmfm","Mouse","C57BL/6",1,"Female","f-m-f-m","One off","Standard",140,"Male","F3",115.4299065,21.75464266,9.728971963,5,"Estimate",96.95327103,12.09984448,5.411214953,5,"Estimate",NA,"Male chow (Control) 3hf(maternal)male (treatment)",-0.174434355142083,0.0102189534227869
"197","Insulin","ITT","Dunn2011","Dunn2011fmfm","Mouse","C57BL/6",1,"Female","f-m-f-m","One off","Standard",140,"Male","F3",104.9918919,7.723499663,3.454054054,5,"Estimate",112.9216216,17.07872461,7.637837838,5,"Estimate",NA,"Male chow (Control) 3hf(maternal)male (treatment)",0.0728108367155513,0.00565725089148729
"198","Insulin","ITT","Dunn2011","Dunn2011fmfm","Mouse","C57BL/6",1,"Female","f-m-f-m","One off","Standard",140,"Male","F3",104.9918919,7.723499663,3.454054054,5,"Estimate",100.6864865,11.47646781,5.132432432,5,"Estimate",NA,"Male chow (Control) 3hf(maternal)male (treatment)",-0.0418715320870142,0.00368068634300941
"199","Insulin","ITT","Gniuli2008","Gniuli2008O","Mouse","Swiss",1,"Female","f-f-fm","One off","Standard",60,"Both","F2",1264.957265,444.4444444,140.5456738,10,"Estimate",820.5128205,205.1282051,64.86723405,10,"Estimate",NA,"CF2C(Control), HFF2C(Treatment)",-0.432864082345688,0.0185947772048156
"200","Insulin","ITT","Gniuli2008","Gniuli2008M","Mouse","Swiss",1,"Female","f-f-fm","Multigenerational","Standard",60,"Both","F2",1264.957265,444.4444444,140.5456738,10,"Estimate",444.4444444,512.8205128,162.1680851,10,"Estimate",NA,"CF2C(Control), HFF2HF(Treatment)",-1.04596855531647,0.145480871896872
"201","Insulin","ITT","Li2012","Li2012a","Mouse","C57BL/6",1,"Female","f-f-fm","Multigenerational","HFD",90,"Male","F2",3407.608696,352.173913,157.4969619,5,"Estimate",5550,1041.847826,465.9285123,5,"Estimate","Fig 1","NCF2 (Control) HFF2(Treatment)",0.487787144632335,0.00918399921393312
"202","Insulin","ITT","Sarker2018","Sarker2018fmm","Mouse","C57BL/6",1,"Female","f-m-m","One off","Standard",98,"Male","F2",445.7386364,133.546758,47.21590909,8,"Exact",639.0340909,234.3094743,82.84090909,8,"Exact",NA,"mCTR (Control), mHFD (Treatment)",0.360225040141082,0.0280257233722358
"203","Insulin","ITT","Sarker2018","Sarker2018fmmm","Mouse","C57BL/6",2,"Female","f-m-m-m","One off","Standard",98,"Male","F3",439.7191011,109.6412762,38.76404494,8,"Exact",542.8651685,161.6017071,57.13483146,8,"Exact",NA,"mCTR (Control), mHFD (Treatment)",0.21072486417569,0.0188484403011589
"204","Insulin","ITT","Sarker2018","Sarker2018fmf","Mouse","C57BL/6",3,"Female","f-m-f","One off","Standard",98,"Female","F2",269.1477273,82.9243407,29.31818182,8,"Exact",299.6590909,63.63961031,22.5,8,"Exact",NA,"fCTR (Control), fHFD (Treatment)",0.107385063857813,0.017503485965336
"205","Insulin","ITT","Sarker2018","Sarker2018fmmf","Mouse","C57BL/6",4,"Female","f-m-m-f","One off","Standard",98,"Female","F3",466.3483146,101.0606546,35.73033708,8,"Exact",395.2247191,95.34024016,33.70786517,8,"Exact",NA,"fCTR (Control), fHFD (Treatment)",-0.165478298894933,0.0131442235938423
"206","Insulin","Fasting_Insulin","Ding2014","Li2012b","Mouse","C57BL/6",1,"Female","f-f-f","Multigenerational",NA,270,"Female","F2",0.187012987,0.058441558,0.019480519,9,"Estimate",1.601298701,1.694805195,0.564935065,9,"Estimate","Fig2A","NC F2(Control), HF F2 (Treatment)",2.14739220347125,0.135317160930165
"207","Insulin","Fasting_Insulin","Graus-Nunes2015","Graus-Nunes2015","Mouse","C57BL/6",1,"Female","f-f-m","One off","Standard",90,"Male","F2",4.47,1.252198067,0.56,5,"Exact",6.71,0.290688837,0.13,5,"Exact","Table 2","F2SC (Control) F2HF (Treatment)",0.406210542358113,0.0160703432363547
"208","Insulin","Fasting_Insulin","Hanafi2015","Hanafi2015fmm","Rat","Wistar",1,"Female","f-m-m","One off","Standard",210,"Male","F2",0.34,0.063245553,0.02,10,"Exact",0.33,0.063245553,0.02,10,"Exact","Table4","F2-CF1 (Control), F2-OF1M(Treatment)",-0.0298529631496812,0.00713330214876763
"209","Insulin","Fasting_Insulin","Hanafi2015","Hanafi2015ffm","Rat","Wistar",1,"Female","f-f-m","One off","Standard",210,"Male","F2",0.34,0.063245553,0.02,10,"Exact",0.33,0.075894664,0.024,10,"Exact","Table4","F2-CF1 (Control), F2-OF1F(Treatment)",-0.0298529631496812,0.00874946381028929
"210","Insulin","Fasting_Insulin","Hanafi2015","Hanafi2015fmf","Rat","Wistar",2,"Female","f-m-f","One off","Standard",210,"Female","F2",0.36,0.066407831,0.021,10,"Exact",0.35,0.075894664,0.024,10,"Exact","Table4","F2-CF1 (Control), F2-OF1M(Treatment)",-0.0281708769666963,0.00810481862741412
"211","Insulin","Fasting_Insulin","Hanafi2015","Hanafi2015fff","Rat","Wistar",2,"Female","f-f-f","One off","Standard",210,"Female","F2",0.36,0.066407831,0.021,10,"Exact",0.38,0.126491106,0.04,10,"Exact","Table4","F2-CF1 (Control), F2-OF1F(Treatment)",0.0540672212702758,0.0144831101304769
"212","Insulin","Fasting_Insulin","Li2012","Li2012a","Mouse","C57BL/6",1,"Female","f-f-fm","Multigenerational","HFD",90,"Male","F2",0.11,0.13,0.06,5,"Estimate",2.29,1.37,0.6,5,"Estimate","Table 1","NCF2 (Control) HFF2(Treatment)",3.03582673075587,0.350920239210976
"213","Insulin","Fasting_Insulin","Masuyama2016","Masuyama2016mmmf","Mouse","ICR",1,"Male","m-m-m-f","One off","Standard",168,"Female","F3",2.89,1.71,0.49,12,"Estimate",3.049382716,1.026400479,0.296296296,12,"Estimate",NA,"I(Control), II(Treatment)",0.0536826798150032,0.0386165272215108
"214","Insulin","Fasting_Insulin","Masuyama2016","Masuyama2016mmmf","Mouse","ICR",1,"Male","m-m-m-f","Multigenerational","Standard",168,"Female","F3",2.89,1.71,0.49,12,"Estimate",3.802469136,1.667900778,0.481481481,12,"Estimate",NA,"I(Control), III(Treatment)",0.274394126228743,0.0452087767430339
"215","Insulin","Fasting_Insulin","Masuyama2016","Masuyama2016mmmf","Mouse","ICR",1,"Male","m-m-m-f","Multigenerational","Standard",168,"Female","F3",2.89,1.71,0.49,12,"Estimate",4.037037037,1.411300658,0.407407407,12,"Estimate",NA,"I(Control), IV(Treatment)",0.334254514091299,0.0393596251490734
"216","Insulin","Fasting_Insulin","Masuyama2016","Masuyama2016mmmm","Mouse","ICR",2,"Male","m-m-m-m","One off","Standard",168,"Male","F3",2.88,1.8,0.52,12,"Estimate",3.098765432,1.368533971,0.395061728,12,"Estimate",NA,"I(Control), II(Treatment) - MALES",0.073213490279618,0.0488057935831397
"217","Insulin","Fasting_Insulin","Masuyama2016","Masuyama2016mmmm","Mouse","ICR",2,"Male","m-m-m-m","Multigenerational","Standard",168,"Male","F3",2.88,1.8,0.52,12,"Estimate",4,0.983633792,0.283950617,12,"Estimate",NA,"I(Control), III(Treatment) - MALES",0.328504066972036,0.0375913303998141
"218","Insulin","Fasting_Insulin","Masuyama2016","Masuyama2016mmmm","Mouse","ICR",2,"Male","m-m-m-m","Multigenerational","Standard",168,"Male","F3",2.88,1.8,0.52,12,"Estimate",4.296296296,1.026400479,0.296296296,12,"Estimate",NA,"I(Control), IV(Treatment) - MALES",0.399963030885216,0.0373083259064444
"219","Insulin","Fasting_Insulin","Masuyama2016","Masuyama2016mfmfmf","Mouse","ICR",3,"Male","m-fm-fm-f","One off","Standard",168,"Female","F3",2.89,1.39,0.4,12,"Estimate",3.093333333,0.692820323,0.2,12,"Estimate",NA,"Alpha (Control), Beta (Treatment)",0.0679927558979001,0.0234578781947847
"220","Insulin","Fasting_Insulin","Masuyama2016","Masuyama2016hffmfmf","Mouse","ICR",3,"Female","f-fm-fm-f","One off","Standard",168,"Female","F3",2.89,1.39,0.4,12,"Estimate",3.786666667,1.062324495,0.306666667,12,"Estimate",NA,"Alpha (Control), Theta (Treatment)",0.270229622588583,0.0258363053776223
"221","Insulin","Fasting_Insulin","Masuyama2016","Masuyama2016fmfmfmf","Mouse","ICR",3,"Both","fm-fm-fm-f","One off","Standard",168,"Female","F3",2.89,1.39,0.4,12,"Estimate",3.88,1.431828668,0.413333333,12,"Estimate",NA,"Alpha (Control), Omega (Treatment)",0.294578651510841,0.0306260593835404
"222","Insulin","Fasting_Insulin","Masuyama2016","Masuyama2016mfmfmm","Mouse","ICR",4,"Male","m-fm-fm-m","One off","Standard",168,"Male","F3",3.09,1.39,0.4,12,"Estimate",3.2,0.692820323,0.2,12,"Estimate",NA,"Alpha (Control), Beta (Treatment)males",0.0349797188960269,0.0207691162592942
"223","Insulin","Fasting_Insulin","Masuyama2016","Masuyama2016ffmfmm","Mouse","ICR",4,"Female","f-fm-fm-m","One off","Standard",168,"Male","F3",3.09,1.39,0.4,12,"Estimate",4.08,1.108512517,0.32,12,"Estimate",NA,"Alpha (Control), Theta (Treatment) males",0.277925897506416,0.0230143464612585
"224","Insulin","Fasting_Insulin","Masuyama2016","Masuyama2016fmfmfmm","Mouse","ICR",4,"Both","fm-fm-fm-m","One off","Standard",168,"Male","F3",3.09,1.39,0.4,12,"Estimate",4.186666667,1.385640646,0.4,12,"Estimate",NA,"Alpha (Control), Omega (Treatment) males",0.303733781541907,0.0259910256148029
"225","Insulin","Fasting_Insulin","Park2018","Park2018mfmf","Mouse","C57BL/6",1,"Male","m-fm-f","One off","Standard",189,"Female","F2",0.675925926,0.23570226,0.083333333,8,"Estimate",0.62037037,0.23570226,0.083333333,8,"Estimate",NA,"F2 female to CD (Control) F2 female to HFD (treatment)",-0.0857668224640291,0.0332439576037842
"226","Insulin","Fasting_Insulin","Park2018","Park2018mfmm","Mouse","C57BL/6",2,"Male","m-fm-m","One off","Standard",189,"Male","F2",1,0.733295921,0.259259259,8,"Estimate",1.018518519,0.18332398,0.064814815,8,"Estimate",NA,"F2 male to CD (Control) F2 male to HFD (treatment)",0.0183491391409237,0.0712649502288449
"227","Insulin","Fasting_Insulin","Sarker2018","Sarker2018fmm","Mouse","C57BL/6",1,"Female","f-m-m","One off","Standard",98,"Male","F2",4.461538462,2.939387691,1.2,6,"Exact",7.046153846,1.507378303,0.615384615,6,"Exact",NA,"mCTR (Control), mHFD (Treatment)",0.456988261008383,0.0799700690416297
"228","Insulin","Fasting_Insulin","Sarker2018","Sarker2018fmf","Mouse","C57BL/6",3,"Female","f-m-f","One off","Standard",98,"Female","F2",0.646153846,0.452213491,0.184615385,6,"Exact",1.323076923,0.678320236,0.276923077,6,"Exact",NA,"fCTR (Control), fHFD (Treatment)",0.716677678150095,0.125440116548061
"229","Insulin","Fasting_Insulin","Sarker2018","Sarker2018fmmm","Mouse","C57BL/6",2,"Female","f-m-m-m","One off","Standard",98,"Male","F3",3.803921569,2.305402111,0.941176471,6,"Exact",9.921568627,3.169927902,1.294117647,6,"Exact",NA,"mCTR (Control), mHFD (Treatment)",0.958678510080745,0.0782312152893241
"230","Insulin","Fasting_Insulin","Sarker2018","Sarker2018fmmf","Mouse","C57BL/6",4,"Female","f-m-m-f","One off","Standard",98,"Female","F3",1.68627451,0.960584213,0.392156863,6,"Exact",1.176470588,0.672408949,0.274509804,6,"Exact",NA,"fCTR (Control), fHFD (Treatment)",-0.360002734347686,0.108527732733882
"231","Insulin","Fasting_Insulin","Adedeji2019","Adedeji2019","Rat","Wistar",1,"Female","f-fm-m","Multigenerational","HFD",84,"Male","F2",514,75.89466384,24,10,"Exact",868,60.08327554,19,10,"Exact",NA,"Control(Control), HFD(Treatment)",0.523968449205185,0.00265934542124574
"232","Adiposity","Visceral Fat Pads","Armitage2007","Armitage2007ffm","Rat","SD",1,"Female","f-f-m","One off","Standard",180,"Male","F2",1.9,0.687895341,0.26,7,"Exact",2.36,0.832826513,0.34,6,"Exact","Table 2","Control Diet F2 (Control), Fat-rich diet F2 (Treatment)",0.216807732865124,0.0394812918222852
"233","Adiposity","Visceral Fat Pads","Armitage2007","Armitage2007fff","Rat","SD",2,"Female","f-f-f","One off","Standard",180,"Female","F2",2.27,0.449777723,0.17,7,"Exact",2.81,0.955301,0.39,6,"Exact","Table 2","Control Diet F2 (Control), Fat-rich diet F2 (Treatment)",0.213404651852343,0.0248711662992507
"234","Adiposity","Brown Adipose Tissue","Barbosa2016","Barbosa2016mfmfM","Rat","SD",1,"Male","m-fm-f","Multigenerational","HFD",84,"Female","F2",408.4,115.8283212,51.8,5,"Exact",520.7,70.43614129,31.5,5,"Exact","Supp Table T4","GpatCD-CD(Control), GpatHF-HF(Treatment)",0.242926973878343,0.0197471851288272
"235","Adiposity","Mesenteric White Adipose Tissue","Barbosa2016","Barbosa2016mfmfM","Rat","SD",2,"Male","m-fm-f","Multigenerational","HFD",84,"Female","F2",4.5,2.01246118,0.9,5,"Exact",5.9,2.01246118,0.9,5,"Exact","Supp Table T4","GpatCD-CD(Control), GpatHF-HF(Treatment)",0.2708749541354,0.0632691755400059
"236","Adiposity","Gonadal WAT","Barbosa2016","Barbosa2016mfmfM","Rat","SD",3,"Male","m-fm-f","Multigenerational","HFD",84,"Female","F2",4.6,1.118033989,0.5,5,"Exact",9.2,2.01246118,0.9,5,"Exact","Supp Table T4","GpatCD-CD(Control), GpatHF-HF(Treatment)",0.693147180559945,0.0213846880984026
"237","Adiposity","Retroperitoneal WAT","Barbosa2016","Barbosa2016mfmfM","Rat","SD",4,"Male","m-fm-f","Multigenerational","HFD",84,"Female","F2",4.1,0.670820393,0.3,5,"Exact",11.6,2.236067977,1,5,"Exact","Supp Table T4","GpatCD-CD(Control), GpatHF-HF(Treatment)",1.04001812440206,0.0127855849843521
"238","Adiposity","Brown Adipose Tissue","Barbosa2016","Barbosa2016mmfO","Rat","SD",1,"Male","m-m-f","One off","Standard",84,"Female","F2",408.4,115.8283212,51.8,5,"Exact",371.1,81.61648118,36.5,5,"Exact","Supp Table T4","GpatCD-CD(Control), GpatHF-CD(Treatment)",-0.0957755182239585,0.0257614307956503
"239","Adiposity","Mesenteric White Adipose Tissue","Barbosa2016","Barbosa2016mmfO","Rat","SD",2,"Male","m-m-f","One off","Standard",84,"Female","F2",4.5,2.01246118,0.9,5,"Exact",3.5,0.894427191,0.4,5,"Exact","Supp Table T4","GpatCD-CD(Control), GpatHF-CD(Treatment)",-0.251314428280906,0.053061224499744
"240","Adiposity","Gonadal WAT","Barbosa2016","Barbosa2016mmfO","Rat","SD",3,"Male","m-m-f","One off","Standard",84,"Female","F2",4.6,1.118033989,0.5,5,"Exact",4.7,1.565247584,0.7,5,"Exact","Supp Table T4","GpatCD-CD(Control), GpatHF-CD(Treatment)",0.0215062052209637,0.0339967275973626
"241","Adiposity","Retroperitoneal WAT","Barbosa2016","Barbosa2016mmfO","Rat","SD",4,"Male","m-m-f","One off","Standard",84,"Female","F2",4.1,0.670820393,0.3,5,"Exact",4.1,1.341640786,0.6,5,"Exact","Supp Table T4","GpatCD-CD(Control), GpatHF-CD(Treatment)",0,0.0267697798729729
"242","Adiposity","Brown Adipose Tissue","Barbosa2016","Barbosa2016mfmfM","Rat","SD",5,"Male","m-fm-m","Multigenerational","HFD",84,"Male","F2",411.1,141.6817561,40.9,12,"Estimate",588.4,189.8327685,54.8,12,"Estimate","Supp Table T6","GpatCD-CD(Control), GpatHF-HF(Treatment)",0.35857049482345,0.0185720235438027
"243","Adiposity","Mesenteric White Adipose Tissue","Barbosa2016","Barbosa2016mfmfM","Rat","SD",6,"Male","m-fm-m","Multigenerational","HFD",84,"Male","F2",5.6,1.732050808,0.5,12,"Estimate",10.2,4.156921938,1.2,12,"Estimate","Supp Table T6","GpatCD-CD(Control), GpatHF-HF(Treatment)",0.599621122549122,0.021812769228205
"244","Adiposity","Gonadal WAT","Barbosa2016","Barbosa2016mfmfM","Rat","SD",7,"Male","m-fm-m","Multigenerational","HFD",84,"Male","F2",9.2,3.117691454,0.9,12,"Estimate",20.8,6.235382907,1.8,12,"Estimate","Supp Table T6","GpatCD-CD(Control), GpatHF-HF(Treatment)",0.815749502652278,0.0170588486163816
"245","Adiposity","Retroperitoneal WAT","Barbosa2016","Barbosa2016mfmfM","Rat","SD",8,"Male","m-fm-m","Multigenerational","HFD",84,"Male","F2",9.41,2.979127389,0.86,12,"Estimate",26,7.274613392,2.1,12,"Estimate","Supp Table T6","GpatCD-CD(Control), GpatHF-HF(Treatment)",1.01632358442419,0.014876191166632
"246","Adiposity","Brown Adipose Tissue","Barbosa2016","Barbosa2016mmfO","Rat","SD",5,"Male","m-m-m","One off","Standard",84,"Male","F2",411.1,141.6817561,40.9,12,"Estimate",481.5,125.0540683,36.1,12,"Estimate","Supp Table T6","GpatCD-CD(Control), GpatHF-CD(Treatment)",0.158069737334347,0.0155192026164936
"247","Adiposity","Mesenteric White Adipose Tissue","Barbosa2016","Barbosa2016mmfO","Rat","SD",6,"Male","m-m-m","One off","Standard",84,"Male","F2",5.6,1.732050808,0.5,12,"Estimate",5.4,2.078460969,0.6,12,"Estimate","Supp Table T6","GpatCD-CD(Control), GpatHF-CD(Treatment)",-0.0363676441708747,0.0203176177908426
"248","Adiposity","Gonadal WAT","Barbosa2016","Barbosa2016mmfO","Rat","SD",7,"Male","m-m-m","One off","Standard",84,"Male","F2",9.2,3.117691454,0.9,12,"Estimate",8.9,2.771281292,0.8,12,"Estimate","Supp Table T6","GpatCD-CD(Control), GpatHF-CD(Treatment)",-0.0331522073169004,0.0176497311964583
"249","Adiposity","Retroperitoneal WAT","Barbosa2016","Barbosa2016mmfO","Rat","SD",8,"Male","m-m-m","One off","Standard",84,"Male","F2",9.41,2.979127389,0.86,12,"Estimate",9.66,4.711178197,1.36,12,"Estimate","Supp Table T6","GpatCD-CD(Control), GpatHF-CD(Treatment)",0.0262206946271383,0.0281734313604936
"250","Adiposity","Parametrial Fat Weight","Ding2014","Li2012b","Mouse","C57BL/6",1,"Female","f-f-f","Multigenerational","HFD",270,"Female","F2",230,10,5,4,"Estimate",3030,420,141,9,"Estimate","Supp Table and Fig 1b in paper","NCF2 (Control) HFF2(Treatment)",2.57823858958022,0.00260745674410223
"251","Adiposity","Mesenteric Fat Weight","King2013","King2013fmm","Mouse","C57BL/6",1,"Female","f-m-m","One off","Standard",180,"Male","F2",0.82,0.132287566,0.05,7,"Exact",0.73,0.21,0.07,9,"Exact","Table 2","mCON/pCON (Control) m/CON/pDIO (Treatment)",-0.116259806115862,0.0129129959241089
